park_id,food_id,name,section,price,category,description,is_new,team,park,city
yankees,1,Classic Hot Dog,All Concourses,$7,Classic,The iconic ballpark frank with mustard and relish.,false,New York Yankees,Yankee Stadium,"New York, NY"
yankees,2,Lobster Roll,Section 132,$28,Seafood,Fresh Maine lobster with butter and lemon on a toasted brioche bun.,false,New York Yankees,Yankee Stadium,"New York, NY"
yankees,3,Garlic Fries,Main Concourse,$11,Sides,Crispy fries tossed in roasted garlic and fresh herbs.,false,New York Yankees,Yankee Stadium,"New York, NY"
yankees,4,NY Cheesesteak,Section 205,$16,Sandwiches,Shaved ribeye with provolone and caramelized onions.,false,New York Yankees,Yankee Stadium,"New York, NY"
yankees,5,Giant Soft Pretzel,All Concourses,$8,Snacks,Warm pretzel with beer cheese dipping sauce.,false,New York Yankees,Yankee Stadium,"New York, NY"
yankees,6,Chicken & Waffles,Section 134,$17,Sandwiches,Crispy fried chicken thigh on a Belgian waffle with honey butter and hot sauce.,false,New York Yankees,Yankee Stadium,"New York, NY"
yankees,7,Tiramisu Helmet,All Concourses,$14,Dessert,"Espresso mascarpone cream with lady finger cookies and cocoa powder, served in a souvenir helmet.",true,New York Yankees,Yankee Stadium,"New York, NY"
yankees,8,Loaded Nachos,Main Concourse,$13,Snacks,"Tortilla chips piled with cheese, jalapeños, sour cream, and pico de gallo.",false,New York Yankees,Yankee Stadium,"New York, NY"
redsox,9,Fenway Frank,All Concourses,$6,Classic,The classic New England-style steamed dog.,false,Boston Red Sox,Fenway Park,"Boston, MA"
redsox,10,Clam Chowder Bread Bowl,Gate B,$12,Seafood,Creamy New England chowder in a sourdough bread bowl.,false,Boston Red Sox,Fenway Park,"Boston, MA"
redsox,11,Lobster Mac & Cheese,EMC Club,$22,Seafood,Three-cheese mac topped with buttery Maine lobster.,false,Boston Red Sox,Fenway Park,"Boston, MA"
redsox,12,Sweet Potato Fries,Gate D,$9,Sides,Crispy sweet potato fries with chipotle aioli.,false,Boston Red Sox,Fenway Park,"Boston, MA"
redsox,13,Cannoli,Gate C,$7,Dessert,Authentic North End-style cannoli with ricotta cream.,false,Boston Red Sox,Fenway Park,"Boston, MA"
redsox,14,Fenway Turkey Club,Section 42,$15,Sandwiches,"Roasted turkey, bacon, avocado, and Swiss on sourdough.",false,Boston Red Sox,Fenway Park,"Boston, MA"
redsox,15,New England Fish & Chips,Section 19,$16,Seafood,"Beer-battered cod with fries, tartar sauce, and malt vinegar.",false,Boston Red Sox,Fenway Park,"Boston, MA"
redsox,16,Loaded Waffle Fries,Main Concourse,$12,Sides,"Waffle fries smothered in queso, bacon, and jalapeños.",false,Boston Red Sox,Fenway Park,"Boston, MA"
bluejays,17,Poutine,100 Level,$13,Sides,"Classic Canadian poutine: fries, cheese curds, and rich gravy.",false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
bluejays,18,Peameal Bacon Sandwich,200 Level,$12,Sandwiches,Toronto's signature peameal bacon on a kaiser roll with mustard.,false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
bluejays,19,Butter Chicken Poutine,Section 134,$16,Sides,A Toronto fusion twist — butter chicken sauce over poutine.,false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
bluejays,20,BeaverTail Pastry,Section 120,$9,Dessert,Canadian fried dough pastry topped with cinnamon sugar and lemon.,false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
bluejays,21,Classic Hot Dog,All Concourses,$7,Classic,Ballpark frank with all the fixings.,false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
bluejays,22,Jerk Chicken Sandwich,Section 128,$15,Sandwiches,Spiced jerk chicken with scotch bonnet slaw and mango aioli on a brioche bun — a nod to Toronto's Caribbean community.,false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
bluejays,23,Maple Glazed Ribs,Section 140,$19,BBQ,Pork ribs glazed with Canadian maple syrup and smoked to tender perfection.,false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
bluejays,24,Nanaimo Bar,All Concourses,$6,Dessert,"Canada's most famous no-bake layered square: chocolate, custard cream, and coconut base.",false,Toronto Blue Jays,Rogers Centre,"Toronto, ON"
rays,25,Cuban Sandwich,Section 107,$13,Sandwiches,"Pressed roasted pork, ham, Swiss, pickles, and mustard on Cuban bread — a Tampa staple.",false,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
rays,26,Grouper Sandwich,Section 140,$16,Seafood,"Fresh Gulf grouper on a hoagie with lettuce, tomato, and tartar sauce.",false,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
rays,27,Stone Crab Claws,Suite Level,$28,Seafood,Florida's finest stone crab claws with mustard dipping sauce.,false,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
rays,28,Key Lime Pie,Section 115,$8,Dessert,Tart and creamy authentic Key lime pie on a graham cracker crust.,false,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
rays,29,Loaded Tater Tots,Main Concourse,$11,Sides,"Crispy tater tots with cheese, jalapeños, and bacon bits.",false,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
rays,30,Pretzel Slugger Dog,All Concourses,$12,Classic,A footlong hot dog wrapped in a soft pretzel and topped with sea salt.,true,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
rays,31,Braised Short Rib Nachos,Section 126,$17,Snacks,"Tortilla chips piled with tender braised short rib, queso, pickled onions, and cilantro.",true,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
rays,32,Pulled Pork Grilled Cheese,Section 118,$14,Sandwiches,Slow-smoked pulled pork and pepper jack cheese on thick-cut Texas toast.,false,Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL"
orioles,33,Boog's BBQ Pit Beef,Left Field,$16,BBQ,The legendary pit beef sandwich from Boog Powell's stand — a Camden Yards institution since 1992.,false,Baltimore Orioles,Oriole Park at Camden Yards,"Baltimore, MD"
